Word,cgram,freqfilms2,islem,puorth
bomba,VER,0.27,0,0
bombe,NOM,48.7,1,5
bombe,VER,0.37,0,5
bombe,VER,0.06,0,5
bombe,ADJ,0.16,1,5
bonde,NOM,0.23,1,5
bondi,VER,0.91,0,0
bonds,NOM,1.25,0,0
bonde,VER,1.07,0,5
bonde,ADJ,0.54,1,5
bongo,NOM,0.09,1,4
bonir,VER,0,1,5
bonis,NOM,0,0,0
bonit,VER,0,0,0
bonne,ADJ,578.93,0,5
bonne,NOM,53.18,1,5
bonni,VER,0.01,0,0
bonte,NOM,17.31,1,4
bonus,NOM,3.8,1,4
bonze,NOM,0.89,1,5
books,NOM,1.39,0,0
booms,NOM,0.02,0,0
boots,NOM,0.54,1,5
borax,NOM,0.16,1,5
borda,VER,0,0,0
borde,VER,0.72,0,0
bordj,NOM,0,1,5
bords,NOM,2.84,0,0
borde,VER,0.78,0,5
borde,ADJ,0.15,1,5
borde,NOM,0,1,5
borie,NOM,0,1,5
borna,VER,0,0,0
borne,NOM,1.69,1,5
borne,VER,0.42,0,5
borne,VER,0.8,0,5
borne,ADJ,2.07,1,5
boree,NOM,0.14,1,5
bosco,NOM,0.04,1,5
bossa,VER,0.89,0,0
bosse,NOM,6.08,1,5
bosse,VER,21.92,0,5
bossu,ADJ,1.58,1,5
bossu,NOM,4.19,1,5
bosse,VER,7.56,0,0
botta,VER,0,0,0
botte,NOM,6.38,1,5
botte,VER,3.98,0,5
botte,VER,1.63,0,5
botte,ADJ,0.2,1,5
botte,NOM,0.02,1,5
boucs,NOM,0.57,0,0
bouda,VER,0.01,0,0
boude,VER,2.31,0,0
boudi,ADV,0.01,1,5
boudu,ONO,7.37,1,5
boude,VER,0.23,0,0
boues,NOM,0.01,0,0
bouge,NOM,34.02,1,5
bouge,VER,85.45,0,5
bouge,VER,10.52,0,5
bouge,ADJ,0.18,1,5
bouge,NOM,0.26,1,5
bouif,NOM,0,1,5
boula,VER,0,0,0
boule,NOM,19.29,1,5
boule,VER,0.28,0,5
boulu,ADJ,0,1,5
boule,VER,0.12,0,0
boume,VER,1.9,0,0
boums,NOM,0.21,0,0
boume,VER,0,0,0
bourg,NOM,1.48,1,5
bouse,NOM,1.71,1,5
bouta,VER,0,0,0
boute,VER,0.03,0,0
bouts,NOM,7.21,0,0
boute,VER,0.14,0,0
bouzy,NOM,0,1,5
bouee,NOM,1.3,1,4
bovin,ADJ,0.09,1,5
bovin,NOM,0.06,1,5
boxer,NOM,0.62,1,5
boxer,VER,3.14,1,5
boxes,NOM,0.13,0,0
boxes,VER,0.62,0,0
boxez,VER,0.41,0,0
boxon,NOM,0.6,1,4
boxes,VER,0,0,0
boyau,NOM,0.19,1,5
boite,NOM,74.58,1,5
braco,NOM,0,1,5
brade,VER,0.26,0,0
brade,VER,0.07,0,0
braie,VER,0.01,0,5
brais,NOM,0.01,0,0
brait,VER,0.03,0,0
brama,VER,0,0,0
brame,NOM,0.01,1,5
brame,VER,0.01,0,5
brame,VER,0,0,0
brand,NOM,0.02,1,5
brava,VER,0.22,0,0
brave,ADJ,24.55,1,5
brave,NOM,4.46,1,5
brave,VER,0.27,0,5
bravo,NOM,8.21,1,5
bravo,ONO,48.98,1,5
brave,VER,0.45,0,0
braye,NOM,0,1,5
break,NOM,6.91,1,5
brefs,ADJ,0.92,0,0
brefs,NOM,0.05,0,0
bribe,NOM,0.03,1,4
brick,NOM,1.3,1,5
bride,NOM,1.63,1,5
bride,VER,0.3,0,5
bride,VER,0.08,0,5
bride,ADJ,0.63,1,5
bries,NOM,0,0,0
brima,VER,0.31,0,0
brime,VER,0.04,0,0
brime,VER,0.14,0,0
brins,NOM,0.44,0,0
brisa,VER,0.31,0,0
brise,NOM,5.6,1,5
brise,VER,8.45,0,5
brise,VER,15.7,0,5
brise,ADJ,6.21,1,5
brize,NOM,0.01,1,4
brocs,NOM,0,0,0
broda,VER,0.01,0,0
brode,VER,0.56,0,0
brode,VER,0.83,0,5
brode,ADJ,0.13,1,5
broie,VER,0.74,0,0
brome,NOM,0.01,1,5
brook,NOM,0.02,1,4
broum,ONO,0.19,1,5
brout,NOM,0.1,1,5
broya,VER,0.01,0,0
broye,VER,0.55,0,5
broye,ADJ,0.35,1,5
bruit,VER,0.25,0,5
bruit,NOM,78.94,1,5
brume,NOM,4.17,1,5
brune,ADJ,6.51,0,5
brune,NOM,4.44,1,5
bruni,ADJ,0.01,1,5
bruni,NOM,0.01,1,5
bruni,VER,0,0,5
bruns,ADJ,2.69,0,0
bruns,NOM,0.2,0,0
brute,ADJ,1.89,0,5
brute,NOM,9.04,1,5
bruts,ADJ,0.42,0,0
bruts,NOM,0.01,0,0
breme,NOM,0.05,1,4
breve,ADJ,3.86,0,4
breve,NOM,0.11,1,4
brûla,VER,0.76,0,0
brûle,VER,33.66,0,0
brûle,VER,20.41,0,5
brûle,ADJ,2.77,1,5
brûle,NOM,1.31,1,5
bubon,NOM,0.02,1,5
bucco,NOM,0.21,1,5
